,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO
350,Justin Bunnell,20827,MPO,DGPT,0,0,0,101.462,0,3,0,0
351,Dallin Blanchard,72707,MPO,DGPT,0,0,0,128.487,0,1,0,0
352,Chris Blanchard,72709,MPO,DGPT,0,0,0,128.487,0,1,0,0
353,Kat Mertsch,99455,FPO,DGPT,2,1000,1000,11.02,5,10,0,0
354,Mei Bruist,147568,FPO,DGPT,0,0,0,120.0,0,1,0,0
355,Sandra Richardson,56987,FPO,DGPT,0,0,0,127.0,0,1,0,0
356,Alan Wagner,28550,MPO,DGPT,0,0,0,63.76,3,9,0,0
357,Carolina Halstead,113817,FPO,DGPT,0,0,0,130.0,0,1,0,0
358,Benjamin Callaway,39015,MPO,DGPT,0,126,1000,20.605,1,9,0,0
359,Ian Burchett,60435,MPO,DGPT,0,0,0,91.732,5,8,0,0
360,Andrew Presnell,63765,MPO,DGPT,0,3,719,29.581,2,9,0,0
361,Casey White,81739,MPO,DGPT,0,1,445,32.039,3,8,0,0
362,Kyle Klein,85132,MPO,DGPT,783,1000,1000,7.355,3,9,0,0
363,Sam Drummond,100689,MPO,DGPT,0,0,0,84.895,2,7,0,0
364,Rachel Trager,112608,FPO,DGPT,0,0,0,113.0,1,1,0,0
365,Alyssa Pierson,122118,FPO,DGPT,0,0,0,39.855,2,4,0,0
366,TONI OSIECKI,32716,FPO,DGPT,0,0,0,141.0,0,1,0,0
367,Samii The Tutu Maes,84007,FPO,DGPT,0,0,0,142.0,0,1,0,0
368,James Beckner,49519,MPO,DGPT,0,0,0,257.325,0,1,0,0
369,Nicholas Carl,82935,MPO,DGPT,0,0,0,204.975,0,2,0,0
370,Ty Love,89959,MPO,DGPT,0,0,0,75.995,1,2,0,0
371,Parker Welck,39491,MPO,DGPT,0,0,0,146.512,1,1,0,0
372,Maximus Meyer,49865,MPO,DGPT,0,0,0,194.82,1,3,0,0
373,Nate Perkins,65737,MPO,DGPT,0,0,0,88.894,2,8,0,0
374,Vincent Polidori,81039,MPO,DGPT,0,0,0,99.169,3,7,0,0
375,Austin Hannum,68835,MPO,DGPT,0,3,649,30.235,2,10,0,0
376,Sias Elmore,57425,MPO,DGPT,0,0,0,127.457,1,2,0,0
377,Isaac Bentley,89065,MPO,DGPT,0,0,0,307.468,0,1,0,0
378,Steve Berger,28091,MPO,DGPT,0,0,0,221.098,0,2,0,0
379,Chris Shotwell,41918,MPO,DGPT,0,0,0,221.098,0,2,0,0
380,Cameron Messerschmidt,58814,MPO,DGPT,0,0,0,116.087,2,4,0,0
381,Jeremy Novak,68696,MPO,DGPT,0,0,0,307.468,0,1,0,0
382,Tyler Swanson,70601,MPO,DGPT,0,0,0,307.468,0,1,0,0
383,Gregg Barsby,15857,MPO,DGPT,0,0,0,64.156,1,8,0,0
384,Cary Trotter,19147,MPO,DGPT,0,0,0,307.468,0,1,0,0
385,J.C. Kester,36777,MPO,DGPT,0,0,0,307.468,0,1,0,0
386,Nate Metzler,41220,MPO,DGPT,0,0,0,307.468,0,1,0,0
387,Emerson Keith,47472,MPO,DGPT,0,505,1000,16.29,2,10,0,0
388,Luke Samson,59419,MPO,DGPT,0,0,1,49.243,6,10,0,0
389,Trevor Harbolt,26860,MPO,DGPT,0,0,0,104.654,3,8,0,0
390,Kyle Griffin,67149,MPO,DGPT,0,0,0,159.431,2,5,0,0
391,Alexander Lyon,80636,MPO,DGPT,0,0,0,173.71,2,4,0,0
392,John Willis II,23844,MPO,DGPT,0,0,0,82.309,5,10,0,0
393,AJ Carey,61770,MPO,DGPT,0,0,23,43.584,5,10,0,0
394,Luke Humphries,69424,MPO,DGPT,0,0,0,53.87,3,10,0,0
395,Justin Gilbert,85457,MPO,DGPT,0,0,0,307.468,0,1,0,0
396,Tim Skellenger,26269,MPO,DGPT,0,0,0,221.098,0,2,0,0
397,Justin Bilodeau,45478,MPO,DGPT,0,0,0,221.098,0,2,0,0
398,Louis LaPorta,49094,MPO,DGPT,0,0,0,221.098,0,2,0,0
399,Tim Barham,53332,MPO,DGPT,0,0,0,62.003,4,6,0,0
400,Jacob McDaniel,79978,MPO,DGPT,0,0,0,307.468,0,1,0,0
401,Dan Schlitter,80219,MPO,DGPT,0,0,0,80.443,1,2,0,0
402,Kesler Martin,88497,MPO,DGPT,0,0,0,221.098,0,2,0,0
403,Kyle Divelbiss,104419,MPO,DGPT,0,0,0,168.846,1,5,0,0
404,Kade Filimoehala,104984,MPO,DGPT,0,0,0,73.935,1,4,0,0
405,Chris Brooks,13978,MPO,DGPT,0,0,0,194.82,1,3,0,0
406,Gavin Rathbun,60436,MPO,DGPT,0,1000,1000,12.705,5,8,0,0
407,Colton Bates,43369,MPO,DGPT,0,0,0,307.468,0,1,0,0
408,Jeremy Herr,56486,MPO,DGPT,0,0,0,307.468,0,1,0,0
409,Logan Riding,74221,MPO,DGPT,0,0,0,140.857,1,2,0,0
410,Mason Foltz,84401,MPO,DGPT,0,0,0,307.468,0,1,0,0
411,Koy Blanchard,100086,MPO,DGPT,0,0,0,307.468,0,1,0,0
412,Mike Lassuy,25645,MPO,DGPT,0,0,0,221.098,0,2,0,0
413,Zack Finwall,89111,MPO,DGPT,0,0,0,189.34,2,3,0,0
414,William Schram,127314,MPO,DGPT,0,0,0,144.829,3,7,0,0
415,Jason Hebenheimer,43762,MPO,DGPT,0,0,0,79.433,5,7,0,0
416,Jarod Gogal,72409,MPO,DGPT,0,0,0,307.468,0,1,0,0
417,Joey Temali,100818,MPO,DGPT,0,0,0,137.613,1,8,0,0
418,James Moore,31452,MPO,DGPT,0,0,0,119.249,1,2,0,0
419,Joey Nichols,103115,MPO,DGPT,0,0,0,307.468,0,1,0,0
420,Brandon Hauer,55021,MPO,DGPT,0,0,0,183.895,0,4,0,0
421,Douglas Ferrio,89662,MPO,DGPT,0,0,0,307.468,0,1,0,0
422,Aidan Guthrie,96832,MPO,DGPT,0,0,0,147.512,3,6,0,0
423,Kaleb Caplin,109666,MPO,DGPT,0,0,0,307.468,0,1,0,0
424,Christopher Robbins,109674,MPO,DGPT,0,0,0,307.468,0,1,0,0
425,Donovan Smith,49649,MPO,DGPT,0,0,0,221.098,0,2,0,0
426,A.J. Herr,56485,MPO,DGPT,0,0,0,307.468,0,1,0,0
427,Billy Armstrong,77543,MPO,DGPT,0,0,0,153.755,2,3,0,0
428,Tristan Tanner,99053,MPO,DGPT,0,0,0,75.992,1,8,0,0
429,Tyler Schrock,71872,MPO,DGPT,0,0,0,221.098,0,2,0,0
430,Chris Nelson,78697,MPO,DGPT,0,0,0,114.957,1,2,0,0
431,Jeremy Farnsworth,78805,MPO,DGPT,0,0,0,221.098,0,2,0,0
432,Landen Mortensen,119084,MPO,DGPT,0,0,0,217.076,1,2,0,0
433,Josh Miller,62910,MPO,DGPT,0,0,0,221.098,0,2,0,0
434,Connor Rock,73695,MPO,DGPT,0,0,0,307.468,0,1,0,0
435,Rick Mabbatt,97168,MPO,DGPT,0,0,0,307.468,0,1,0,0
436,Sean Kapalko,19453,MPO,DGPT,0,0,0,307.468,0,1,0,0
437,Shawn Sullivan,46190,MPO,DGPT,0,0,0,307.468,0,1,0,0
438,Andrew Rosta,67245,MPO,DGPT,0,0,0,307.468,0,1,0,0
439,Jake Schlagheck,23143,MPO,DGPT,0,0,0,221.098,0,2,0,0
440,Josiah Griffin,90955,MPO,DGPT,0,0,0,307.468,0,1,0,0
441,Corey Dryden,29812,MPO,DGPT,0,0,0,307.468,0,1,0,0
442,Joshua Johnson,96436,MPO,DGPT,0,0,0,307.468,0,1,0,0
443,Cam Tyler Rico,28560,MPO,DGPT,0,0,0,307.468,0,1,0,0
444,Alex Schimmelpfenning,37507,MPO,DGPT,0,0,0,221.098,0,2,0,0
445,Graham Russell,37909,MPO,DGPT,0,0,0,167.815,1,1,0,0
446,Steven Derochie,73363,MPO,DGPT,0,0,0,307.468,0,1,0,0
447,Sean Tapley,87506,MPO,DGPT,0,0,0,221.098,0,2,0,0
448,Jamalle Castillo,49514,MPO,DGPT,0,0,0,206.991,2,2,0,0
449,Austin Spradlin,51740,MPO,DGPT,0,0,0,307.468,0,1,0,0
450,Josh Bergquist,72478,MPO,DGPT,0,0,0,307.468,0,1,0,0
451,Wyatt Merritt,51603,MPO,DGPT,0,0,0,307.468,0,1,0,0
452,Chris Bates,35265,MPO,DGPT,0,0,0,221.098,0,2,0,0
453,Shea Callahan,36806,MPO,DGPT,0,0,0,307.468,0,1,0,0
454,Noah Meintsma,56555,MPO,DGPT,0,0,0,63.085,3,9,0,0
455,Tristan Lucerne,77246,MPO,DGPT,0,0,0,307.468,0,1,0,0
456,Clint McClellan,2366,MP60,.,0,0,0,0.0,0,0,0,0
457,Michael Ynfante,15596,MP50,.,0,0,0,0.0,0,0,0,0
458,Shasta Criss,28597,MP40,.,0,0,0,0.0,0,0,0,0
459,Joe Sofinowski,9955,MP60,.,0,0,0,0.0,0,0,0,0
460,Christopher Farnham,17686,MP40,.,0,0,0,0.0,0,0,0,0
461,Patrick Brown,25713,MP40,.,0,0,0,0.0,0,0,0,0
462,Craig Florence,87066,MP50,.,0,0,0,0.0,0,0,0,0
463,Heather Young,100965,FPO,DGPT,0,336,1000,16.58,2,5,0,0
464,Geoff Hungerford,688,MP60,.,0,0,0,0.0,0,0,0,0
465,Alex Bachicha,23690,MP50,.,0,0,0,0.0,0,0,0,0
466,Rich Harpel,50142,MP50,.,0,0,0,0.0,0,0,0,0
467,Jeff Cooper,4273,MP60,.,0,0,0,0.0,0,0,0,0
468,Jimmy Martinez,75178,MP40,.,0,0,0,0.0,0,0,0,0
469,Will Martin,2561,MP50,.,0,0,0,0.0,0,0,0,0
470,Vinnie Miller,5521,MP50,.,0,0,0,0.0,0,0,0,0
471,J.D. Ramirez,19857,MP40,.,0,0,0,0.0,0,0,0,0
472,Randy Ricks,119240,MP60,.,0,0,0,0.0,0,0,0,0
473,Jerry Perez Sr,9957,MP60,.,0,0,0,0.0,0,0,0,0
474,Chris Pepperling,15024,MP40,.,0,0,0,0.0,0,0,0,0
475,Mark Bowman,20495,MP60,.,0,0,0,0.0,0,0,0,0
476,Chris Dickerson,62467,MPO,DGPT,0,807,1000,14.305,3,5,0,0
477,Joel Freeman,69509,MPO,DGPT,0,382,1000,17.696,3,8,0,0
478,Alden Harris,98091,MPO,DGPT,0,0,0,55.464,4,8,0,0
479,MJ Cooper,24656,MP50,.,0,0,0,0.0,0,0,0,0
480,Ray Hill,25183,MP40,.,0,0,0,0.0,0,0,0,0
481,Gary Harris,2675,MP60,.,0,0,0,0.0,0,0,0,0
482,Martin Rendon,20181,MP50,.,0,0,0,0.0,0,0,0,0
483,Kevin Eldredge,32731,MP40,.,0,0,0,0.0,0,0,0,0
484,Austin McNabb,34356,MP40,.,0,0,0,0.0,0,0,0,0
485,Alex Aguilar,71782,MP40,.,0,0,0,0.0,0,0,0,0
486,David Payne,3234,MP60,.,0,0,0,0.0,0,0,0,0
487,John Cloutier,48143,MP50,.,0,0,0,0.0,0,0,0,0
488,Anthony Pugh,28058,MP50,.,0,0,0,0.0,0,0,0,0
489,Casey Pennington,74708,FPO,DGPT,0,0,0,34.755,1,3,0,0
490,Tony Inzana,15770,MP50,.,0,0,0,0.0,0,0,0,0
491,Don Smith,16831,MP40,.,0,0,0,0.0,0,0,0,0
492,Vanessa Van Dyken,62325,FPO,DGPT,0,0,1000,21.576,2,6,0,0
493,Mando Flores,44222,MP40,.,0,0,0,0.0,0,0,0,0
494,Ernest Motton Jr,45249,MP50,.,0,0,0,0.0,0,0,0,0
495,Brock Cummings,53805,MP40,.,0,0,0,0.0,0,0,0,0
496,Raul Albarez,44644,MP50,.,0,0,0,0.0,0,0,0,0
497,Judah Moser,5531,MP50,.,0,0,0,0.0,0,0,0,0
498,Justin McLuen,12468,MP40,.,0,0,0,0.0,0,0,0,0
499,Edward Palacios,14908,MP40,.,0,0,0,0.0,0,0,0,0
500,Collins Nance,38240,MP40,.,0,0,0,0.0,0,0,0,0
501,Reid Frescura,48338,MPO,DGPT,0,0,0,61.483,3,5,0,0
502,Stacie Rawnsley,122208,FPO,DGPT,0,0,1000,22.381,3,6,0,0
503,Leigh Mason,158123,MP50,.,0,0,0,0.0,0,0,0,0
504,Bradley Williams,31644,MPO,DGPT,0,6,923,27.981,1,7,0,0
505,Trevon Crowe,67172,MPO,DGPT,0,0,0,108.934,4,5,0,0
506,Keith Fath,154743,MP50,.,0,0,0,0.0,0,0,0,0
507,Richard Fason,34741,MP50,.,0,0,0,0.0,0,0,0,0
508,Decius W. Tasby,46936,MP40,.,0,0,0,0.0,0,0,0,0
509,Bobby Jones,3087,MP50,.,0,0,0,0.0,0,0,0,0
510,Jeff Gothard,48007,MP40,.,0,0,0,0.0,0,0,0,0
511,Christopher Gomez,56688,MP40,.,0,0,0,0.0,0,0,0,0
512,Hannah McBeth,66939,FPO,DGPT,0,0,0,54.297,1,2,0,0
513,Krissie Fountain,73693,FPO,DGPT,0,0,0,71.502,1,1,0,0
514,Megan Ramirez,95481,FPO,DGPT,0,0,0,130.0,1,0,0,0
515,Robert Tate,112257,MP40,.,0,0,0,0.0,0,0,0,0
516,Chandler Fry,25541,MPO,DGPT,0,74,1000,22.589,4,9,0,0
517,Landon Williams,26180,MP40,.,0,0,0,0.0,0,0,0,0
518,Julie Eagle,78135,FPO,DGPT,0,0,0,57.709,1,2,0,0
519,Chad Francis,30662,MP40,.,0,0,0,0.0,0,0,0,0
520,Zach Tate,12031,MP40,.,0,0,0,0.0,0,0,0,0
521,Jorge Garcia,24089,MP40,.,0,0,0,0.0,0,0,0,0
522,Shannon Prendergast,65961,FPO,DGPT,0,0,0,68.359,2,1,0,0
523,Sheila Kirkham,7646,FPO,DGPT,0,0,0,137.0,1,0,0,0
524,Chris Harris,37146,MPO,DGPT,0,0,0,149.62,1,1,0,0
525,Ezra Robinson,50671,MPO,DGPT,0,0,0,55.644,4,6,0,0
526,Demian Beyer,85752,MP40,.,0,0,0,0.0,0,0,0,0
527,Chris Zagone,32774,MP40,.,0,0,0,0.0,0,0,0,0
528,Joe Sexton,52380,MP40,.,0,0,0,0.0,0,0,0,0
529,Renae Farr,84208,FPO,DGPT,0,0,0,139.0,1,0,0,0
530,Erin Reynolds,88066,FPO,DGPT,0,0,0,75.65,2,1,0,0
531,George Avery,18179,MP40,.,0,0,0,0.0,0,0,0,0
532,David Funky Cold Medina,62184,MP40,.,0,0,0,0.0,0,0,0,0
533,JohnE McCray,9852,MPO,DGPT,0,0,0,71.563,1,2,0,0
534,Nikko Locastro,11534,MPO,DGPT,926,1000,1000,6.788,4,9,0,0
535,Salvador Robles,81962,MP40,.,0,0,0,0.0,0,0,0,0
536,Bryan Luoma,14025,MP40,.,0,0,0,0.0,0,0,0,0
537,Mikey Seibert,125079,MP40,.,0,0,0,0.0,0,0,0,0
538,Jonathan Nicholson,101390,MPO,DGPT,0,0,0,84.249,4,8,0,0
539,Daniel Willis,118788,MP40,.,0,0,0,0.0,0,0,0,0
540,Mark Chapalonis,70741,MPO,DGPT,0,0,0,182.156,1,1,0,0
541,Mike Laitala,43081,MPO,DGPT,0,0,0,212.044,1,0,0,0
542,Bonner Butler,61104,MPO,DGPT,0,0,0,206.991,1,1,0,0
543,Jacob Sanders,78848,MPO,DGPT,0,0,0,262.359,1,0,0,0
544,Justin Freeman,33878,MPO,DGPT,0,0,0,260.359,1,1,0,0
545,Kennan Johnson,77936,MPO,DGPT,0,0,0,122.346,2,7,0,0
546,Mason Marchbanks,79753,MPO,DGPT,0,0,0,205.991,1,2,0,0
547,Elijah Bickel,94844,MPO,DGPT,0,0,0,124.103,2,5,0,0
548,Patrick Blazek,25325,MPO,DGPT,0,0,0,270.439,1,1,0,0
549,G.T. Hancock,49885,MPO,DGPT,0,0,0,159.782,2,2,0,0
550,Marshall Blanks,56886,MPO,DGPT,0,0,0,206.991,2,2,0,0
551,Zane Letts,57544,MPO,DGPT,0,0,0,112.996,2,2,0,0
552,Darrin Wilder,95841,MPO,DGPT,0,0,0,550.0,1,0,0,0
553,Fredy Meza,100497,MPO,DGPT,0,0,0,550.0,1,0,0,0
554,Timothy Escobedo Jr,22698,MPO,DGPT,0,0,0,270.439,1,1,0,0
555,Michael Hoffman,46997,MPO,DGPT,0,0,0,185.529,2,3,0,0
556,Tanner Girouard,88077,MPO,DGPT,0,0,0,128.348,3,7,0,0
557,Chandler Kramer,139228,MPO,DGPT,0,0,0,550.0,1,0,0,0
558,Landon Knight,47662,MPO,DGPT,0,0,0,550.0,1,0,0,0
559,Dillon Dyer,52381,MPO,DGPT,0,0,0,550.0,1,0,0,0
560,Erik Olden,48828,MPO,DGPT,0,0,0,550.0,1,0,0,0
561,Loren Lewis,68695,MPO,DGPT,0,0,0,152.753,3,3,0,0
562,Michael Arauza,87267,MPO,DGPT,0,0,0,217.076,1,2,0,0
563,Jimmy Zamora,20375,MPO,DGPT,0,0,0,550.0,1,0,0,0
564,Isaac Marrs,65220,MPO,DGPT,0,0,0,550.0,1,0,0,0
565,Charles Moore,78268,MPO,DGPT,0,0,0,550.0,1,0,0,0
566,Randy Dueck,139619,MPO,DGPT,0,0,0,550.0,1,0,0,0
567,Matt Odenwelder,31710,MPO,DGPT,0,0,0,262.359,2,2,0,0
568,Garrett Tapken,48873,MPO,DGPT,0,0,0,126.449,2,4,0,0
569,Jared Stoll,68103,MPO,DGPT,0,0,0,137.781,2,5,0,0
570,Anthony AP Perkins,71308,MPO,DGPT,0,0,0,550.0,1,0,0,0
571,Jesse Ginthum,49975,MPO,DGPT,0,0,0,169.863,2,4,0,0
572,Jaden Rye,153363,MPO,DGPT,0,0,0,550.0,1,0,0,0
573,Quintin Becker,69961,MPO,DGPT,0,0,0,151.651,2,6,0,0
574,Daniel Ainsworth,101541,MPO,DGPT,0,0,0,262.359,2,1,0,0
575,Ulysses Muniz,68879,MPO,DGPT,0,0,0,270.439,1,1,0,0
576,David Stepp,82360,MPO,DGPT,0,0,0,550.0,1,0,0,0
577,George Castillo,45536,MPO,DGPT,0,0,0,550.0,1,0,0,0
578,Erik Knoll,113775,MPO,DGPT,0,0,0,550.0,1,0,0,0
579,David Willis,77608,MPO,DGPT,0,0,0,550.0,1,0,0,0
580,Jorge Angeles,103498,MPO,DGPT,0,0,0,550.0,1,0,0,0
581,Mark Reynolds,45891,MPO,DGPT,0,0,0,550.0,1,0,0,0
582,Joe Bishop,49211,MPO,DGPT,0,0,0,550.0,1,0,0,0
583,Tanner McCartney,97556,MPO,DGPT,0,0,0,550.0,1,0,0,0
584,Brett Seago,64667,MPO,DGPT,0,0,0,550.0,1,0,0,0
585,Neil Myers,69947,MPO,DGPT,0,0,0,550.0,1,0,0,0
586,Parker Standard,76188,MPO,DGPT,0,0,0,550.0,1,0,0,0
587,Matt Sellers,84738,MPO,DGPT,0,0,0,550.0,1,0,0,0
588,Ethan Pollack,111729,MPO,DGPT,0,0,0,550.0,1,0,0,0
589,Mark McAlister,16672,MPO,DGPT,0,0,0,262.359,2,1,0,0
590,Scott Turner,51987,MPO,DGPT,0,0,0,206.991,2,2,0,0
591,Caleb Wilkins,60469,MPO,DGPT,0,0,0,550.0,1,0,0,0
592,Zack Mullin,100986,MPO,DGPT,0,0,0,550.0,1,0,0,0
593,Kyle Glaeser,53900,MPO,DGPT,0,0,0,550.0,1,0,0,0
594,C.J. Hopper,34562,MPO,DGPT,0,0,0,550.0,1,0,0,0
595,Nicholas Maloukis,49584,MPO,DGPT,0,0,0,550.0,1,0,0,0
596,Anthony Angel,83681,MPO,DGPT,0,0,0,270.439,1,2,0,0
597,Anthony Garza,69344,MPO,DGPT,0,0,0,550.0,1,0,0,0
598,Andrew Letson,97468,MPO,DGPT,0,0,0,550.0,1,0,0,0
599,Joshua Brunsmann,88177,MPO,DGPT,0,0,0,550.0,1,0,0,0
600,Dylan Steele,105048,MPO,DGPT,0,0,0,550.0,1,0,0,0
601,Lennon Coley,136418,MPO,DGPT,0,0,0,550.0,1,0,0,0
602,Stephen Mattingly,55496,MPO,DGPT,0,0,0,536.0,2,0,0,0
603,Ellen Widboom,58276,FPO,DGPT,0,0,299,33.116,2,3,0,0
604,Daniel Brooks-Wells,79228,MPO,DGPT,0,0,0,89.893,4,7,0,0
605,Justin McLuen,12468,MPO,DGPT,0,0,0,180.289,1,2,0,0
606,Jonathan Propalis,55926,MPO,DGPT,0,0,0,166.812,3,4,0,0
607,Chase Van Burkleo,58680,MPO,DGPT,0,0,0,305.468,2,0,0,0
608,Zach Arlinghaus,65266,MPO,DGPT,0,0,0,165.083,1,4,0,0
609,Jeff Renner,67313,MPO,DGPT,0,0,0,261.359,2,1,0,0
610,Abrahan Bahena,53558,MPO,DGPT,0,0,0,550.0,1,0,0,0
611,Michael Mayo,76574,MPO,DGPT,0,0,0,270.439,1,1,0,0
612,Alexander Henry,121375,MPO,DGPT,0,0,0,550.0,1,0,0,0
613,Ian Hamilton,97422,MPO,DGPT,0,0,0,155.607,2,4,0,0
614,Joe Carey,73855,MPO,DGPT,0,0,0,550.0,1,0,0,0
615,John Sanders,113670,MPO,DGPT,0,0,0,550.0,1,0,0,0
616,Seth Talbott,114877,MPO,DGPT,0,0,0,55.313,1,9,0,0
617,Joseph Kulp,74759,MPO,DGPT,0,0,0,550.0,1,0,0,0
618,Zach Melton,38631,MPO,DGPT,0,0,0,75.027,2,6,0,0
619,Mike Carman,48559,MPO,DGPT,0,0,0,116.812,5,7,0,0
620,Noah Fiveash,99153,MPO,DGPT,0,0,0,81.475,1,3,0,0
621,Sam Lee,78519,MPO,DGPT,0,0,0,170.53,1,4,0,0
622,Christian Olsen,60666,MPO,DGPT,0,0,0,262.359,2,1,0,0
623,Derek Norris,51009,MPO,DGPT,0,0,0,550.0,1,0,0,0
624,Jeffrey Korns,69287,MPO,DGPT,0,0,0,550.0,1,0,0,0
625,Alex Leonard,102620,MPO,DGPT,0,0,0,550.0,1,0,0,0
626,Nate Turner,127187,MPO,DGPT,0,0,0,550.0,1,0,0,0
627,Mack Watson,125933,MPO,DGPT,0,0,0,550.0,1,0,0,0
628,Sheldon Shinn,54196,MPO,DGPT,0,0,0,550.0,1,0,0,0
629,Zack Dumond,107282,MPO,DGPT,0,0,0,270.439,1,1,0,0
630,Ethan Dorrough,111668,MPO,DGPT,0,0,0,550.0,1,0,0,0
631,Chris Zagone,32774,MPO,DGPT,0,0,0,270.439,1,1,0,0
632,Brandon Grice,107216,MPO,DGPT,0,0,0,550.0,1,0,0,0
633,Chad Francis,30662,MPO,DGPT,0,0,0,550.0,1,0,0,0
634,Blair Furstenberg,63936,MPO,DGPT,0,0,0,550.0,1,0,0,0
635,John Paul Finney,74345,MPO,DGPT,0,0,0,550.0,1,0,0,0
636,James Mueller,67144,MPO,DGPT,0,0,0,536.0,2,0,0,0
637,Michael Evert,123958,MPO,DGPT,0,0,0,550.0,1,0,0,0
638,Mackenzie Elsey,124691,MPO,DGPT,0,0,0,550.0,1,0,0,0
639,Rick Huber,100542,MPO,DGPT,0,0,0,203.94,3,2,0,0
640,Tom Coffin,27172,MPO,DGPT,0,0,0,550.0,1,0,0,0
641,Mason Buerer,133800,MPO,DGPT,0,0,0,550.0,1,0,0,0
642,Alanzo Conner,57397,MPO,DGPT,0,0,0,550.0,1,0,0,0
643,William Corporon II,62416,MPO,DGPT,0,0,0,550.0,1,0,0,0
644,Sarah Gilpin,87338,FPO,DGPT,0,0,0,36.032,2,2,0,0
645,Lindsay Fish,32925,FPO,DGPT,0,0,0,53.885,1,2,0,0
646,Jake Lauber,44782,MPO,DGPT,0,0,0,82.579,1,3,0,0
647,Megan Riccardi,96253,FPO,DGPT,0,0,0,116.0,1,0,0,0
648,Rebekah Kersey,47406,FPO,DGPT,0,0,0,56.7,2,1,0,0
649,Andrew Marwede,75590,MPO,DGPT,0,0,48,44.322,3,6,0,0
650,Fresa Jacobs,89589,FPO,DGPT,0,0,0,120.0,1,0,0,0
651,Alexis Kerman,142354,FPO,DGPT,0,0,0,122.0,1,0,0,0
652,D.W. Hass,94907,MPO,DGPT,0,0,0,132.469,3,3,0,0
653,Brock Rohler,131719,MPO,DGPT,0,0,0,148.515,1,1,0,0
654,Rich Klein III,40067,MPO,DGPT,0,0,0,160.911,2,1,0,0
655,John Jones,43834,MPO,DGPT,0,0,0,177.73,1,2,0,0
656,Kevin Free,99504,MPO,DGPT,0,0,0,212.044,1,0,0,0
657,Carter Smith,45145,MPO,DGPT,0,0,0,212.044,1,1,0,0
658,Casey Trudeau,55815,MPO,DGPT,0,0,0,306.468,2,0,0,0
659,Michael Johansen,20300,MPO,DGPT,0,0,0,143.893,1,3,0,0
660,Jeremiah Dwyer,58738,MPO,DGPT,0,0,0,536.0,1,0,0,0
661,Charles Behrhorst,42202,MPO,DGPT,0,0,0,165.776,1,4,0,0
662,George Smith,4034,MPO,DGPT,0,0,0,550.0,1,0,0,0
663,Neal Swanson,24965,MPO,DGPT,0,0,0,536.0,2,0,0,0
664,Derek DG Green,48445,MPO,DGPT,0,0,0,550.0,1,0,0,0
665,Luke Sabulsky,109175,MPO,DGPT,0,0,0,550.0,1,0,0,0
666,Jake Bowen,20629,MPO,DGPT,0,0,0,550.0,1,0,0,0
667,Michael Clark,109591,MPO,DGPT,0,0,0,550.0,1,0,0,0
668,Owen Hileman,32715,MPO,DGPT,0,0,0,270.439,1,1,0,0
669,Cory Folkins,104825,MPO,DGPT,0,0,0,550.0,1,0,0,0
670,Quentin Borengasser,113918,MPO,DGPT,0,0,0,550.0,1,0,0,0
671,Das Loomis,35956,MPO,DGPT,0,0,0,550.0,1,0,0,0
672,Dylan Brogren,128145,MPO,DGPT,0,0,0,270.439,1,1,0,0
673,James Loveall,64990,MPO,DGPT,0,0,0,550.0,1,0,0,0
674,Chris Sprague,16425,MPO,DGPT,0,0,0,550.0,1,0,0,0
675,Jose Ossa,28268,MPO,DGPT,0,0,0,550.0,1,0,0,0
676,Peter Bures,50464,MPO,DGPT,0,0,0,270.439,1,1,0,0
677,Robert Centala,77869,MPO,DGPT,0,0,0,153.755,2,2,0,0
678,Jake Spencer,76396,MPO,DGPT,0,0,0,149.62,2,5,0,0
679,Justin Farrell,112306,MPO,DGPT,0,0,0,550.0,1,0,0,0
680,Anthony Lamonica,114009,MPO,DGPT,0,0,0,550.0,1,0,0,0
681,Calon Houston-Patton,46797,MPO,DGPT,0,0,0,550.0,1,0,0,0
682,Lance Brown,58644,MPO,DGPT,0,0,0,68.831,3,8,0,0
683,Michael Natera,126029,MPO,DGPT,0,0,0,550.0,1,0,0,0
684,Adam Morrison,36514,MPO,DGPT,0,0,0,270.439,1,1,0,0
685,Ty Evanson,59143,MPO,DGPT,0,0,0,536.0,2,0,0,0
686,Cory Simonich,90497,MPO,DGPT,0,0,0,270.439,1,1,0,0
687,James Fleege,15789,MPO,DGPT,0,0,0,550.0,1,0,0,0
688,Jacob Wollberg,86098,MPO,DGPT,0,0,0,550.0,1,0,0,0
689,Joseph Hesting,24884,MPO,DGPT,0,0,0,550.0,1,0,0,0
690,Al Kennon,80549,MPO,DGPT,0,0,0,550.0,1,0,0,0
691,Roy Zumwalt,26412,MPO,DGPT,0,0,0,550.0,1,0,0,0
692,Dick Terry,112817,MPO,DGPT,0,0,0,550.0,1,0,0,0
693,Pat Ellison,105778,MPO,DGPT,0,0,0,550.0,1,0,0,0
694,Jake Shoemaker,102036,MPO,DGPT,0,0,0,550.0,1,0,0,0
695,Mark Anderson,69045,MPO,DGPT,0,0,0,270.439,1,1,0,0
696,Juliana Korver,7438,FPO,DGPT,17,1000,1000,9.837,2,7,0,0
